0	0.772733	0.568228	0.086717	0.149722
0	0.472800	0.721650	0.082817	0.193922
0	0.051904	0.669150	0.103808	0.248789
0	0.179596	0.583928	0.098075	0.193922
0	0.166917	0.786461	0.111000	0.149900
0	0.323917	0.699528	0.097367	0.188278
0	0.400554	0.732494	0.081858	0.147989
0	0.894162	0.418717	0.063792	0.104100
0	0.490283	0.628200	0.074633	0.153733
0	0.526167	0.622772	0.084200	0.162033
0	0.565279	0.576067	0.066442	0.116067
0	0.660100	0.578639	0.086717	0.116500
0	0.729042	0.609422	0.075750	0.155933
0	0.772067	0.435333	0.060800	0.102778
0	0.943671	0.419822	0.058475	0.108089
0	0.823896	0.571328	0.059475	0.106322
